#Region, String, Module x, Latitude1, Longitude1, Latitude2, Longitude2, Latitude3, Longitude3, Latitude4, Longitude4
North_G01_IV01, S01,28,-4.442373812,40.71192727,-4.442373943,40.71193748,-4.442397948,40.71193731,-4.442397817,40.71192709
North_G01_IV01, S01,29,-4.442373681,40.71191705,-4.442373812,40.71192727,-4.442397817,40.71192709,-4.442397686,40.71191687
North_G01_IV01, S01,21,-4.442375601,40.71200102,-4.442375876,40.71201132,-4.442399877,40.71201095,-4.442399602,40.71200066
North_G01_IV01, S01,22,-4.442375327,40.71199073,-4.442375601,40.71200102,-4.442399602,40.71200066,-4.442399328,40.71199037
North_G01_IV01, S01,23,-4.442375052,40.71198044,-4.442375327,40.71199073,-4.442399328,40.71199037,-4.442399053,40.71198007
North_G01_IV01, S01,24,-4.442374778,40.71197015,-4.442375052,40.71198044,-4.442399053,40.71198007,-4.442398779,40.71196978
North_G01_IV01, S01,25,-4.442374503,40.71195986,-4.442374778,40.71197015,-4.442398779,40.71196978,-4.442398504,40.71195949
North_G01_IV01, S01,26,-4.442374228,40.71194957,-4.442374503,40.71195986,-4.442398504,40.71195949,-4.44239823,40.7119492
North_G01_IV01, S01,27,-4.442373954,40.71193928,-4.442374228,40.71194957,-4.44239823,40.7119492,-4.442397955,40.71193891
North_G01_IV01, S01,12,-4.442377655,40.71209528,-4.44237789,40.71210559,-4.442401893,40.71210527,-4.442401657,40.71209497
North_G01_IV01, S01,13,-4.442377419,40.71208498,-4.442377655,40.71209528,-4.442401657,40.71209497,-4.442401421,40.71208466
North_G01_IV01, S01,14,-4.442377183,40.71207467,-4.442377419,40.71208498,-4.442401421,40.71208466,-4.442401186,40.71207436
North_G01_IV01, S01,15,-4.442376948,40.71206437,-4.442377183,40.71207467,-4.442401186,40.71207436,-4.44240095,40.71206406
North_G01_IV01, S01,16,-4.442376712,40.71205407,-4.442376948,40.71206437,-4.44240095,40.71206406,-4.442400714,40.71205375
North_G01_IV01, S01,17,-4.442376476,40.71204376,-4.442376712,40.71205407,-4.442400714,40.71205375,-4.442400479,40.71204345
North_G01_IV01, S01,18,-4.442376241,40.71203346,-4.442376476,40.71204376,-4.442400479,40.71204345,-4.442400243,40.71203314
North_G01_IV01, S01,19,-4.442376005,40.71202315,-4.442376241,40.71203346,-4.442400243,40.71203314,-4.442400007,40.71202284
North_G01_IV01, S01,20,-4.442375769,40.71201285,-4.442376005,40.71202315,-4.442400007,40.71202284,-4.442399772,40.71201254
North_G01_IV01, S01,3,-4.442379946,40.71218938,-4.442380187,40.71219966,-4.44240419,40.71219934,-4.442403949,40.71218905
North_G01_IV01, S01,4,-4.442379705,40.71217909,-4.442379946,40.71218938,-4.442403949,40.71218905,-4.442403708,40.71217877
North_G01_IV01, S01,5,-4.442379464,40.71216881,-4.442379705,40.71217909,-4.442403708,40.71217877,-4.442403467,40.71216849
North_G01_IV01, S01,6,-4.442379223,40.71215853,-4.442379464,40.71216881,-4.442403467,40.71216849,-4.442403225,40.7121582
North_G01_IV01, S01,7,-4.442378982,40.71214824,-4.442379223,40.71215853,-4.442403225,40.7121582,-4.442402984,40.71214792
North_G01_IV01, S01,8,-4.442378741,40.71213796,-4.442378982,40.71214824,-4.442402984,40.71214792,-4.442402743,40.71213764
North_G01_IV01, S01,9,-4.4423785,40.71212768,-4.442378741,40.71213796,-4.442402743,40.71213764,-4.442402502,40.71212735
North_G01_IV01, S01,10,-4.442378259,40.71211739,-4.4423785,40.71212768,-4.442402502,40.71212735,-4.442402261,40.71211707
North_G01_IV01, S01,11,-4.442378018,40.71210711,-4.442378259,40.71211739,-4.442402261,40.71211707,-4.44240202,40.71210679
North_G01_IV01, S01,1,-4.442380518,40.71221152,-4.442380648,40.71222186,-4.442404653,40.71222169,-4.442404522,40.71221134
North_G01_IV01, S01,2,-4.442380387,40.71220118,-4.442380518,40.71221152,-4.442404522,40.71221134,-4.442404392,40.712201
North_G01_IV01, S02,25,-4.442381859,40.71226303,-4.442382126,40.71227332,-4.442406128,40.71227296,-4.44240586,40.71226267
North_G01_IV01, S02,26,-4.442381591,40.71225274,-4.442381859,40.71226303,-4.44240586,40.71226267,-4.442405593,40.71225238
North_G01_IV01, S02,27,-4.442381324,40.71224245,-4.442381591,40.71225274,-4.442405593,40.71225238,-4.442405325,40.71224209
North_G01_IV01, S02,28,-4.442381056,40.71223216,-4.442381324,40.71224245,-4.442405325,40.71224209,-4.442405057,40.7122318
